WorkerId,Answer.essay1,Answer.essay2,job_title,Answer.burnedout,Answer.energized,Answer.engrossed,Answer.fatigued,Answer.frustrated,Answer.intend_look,Answer.intend_stay,Answer.meaningful,Answer.proud,Answer.strong,Answer.time_flies,Answer.want_stay,Org Type,Years Experience,Industry,org_size,ONET1,ONET2,ONET3,Role_level
36,"The thing I most like about my job is my ability to work remotely from home. I sometimes dread making the commute from home to work, and having the ability to work from the comfort of my own home office is a really big perk that comes along with my job. I feel that being able to work remotely actually increases my productivity much of the time, and it allows me to be in an environment where I am comfortable. Working from home allows me to make better use of my time, and it is also much more convenient for me. Of all the aspects of my job, working remotely is definitely the best part about it.","Typically times passes quite quickly when I am working. I do tend to get quite engrossed in what I am doing and tend to completely focus in on the task at hand. It is fairly rare for me to get distracted, unless another fellow employee needs my attention or has a question or a favor to ask of me. For instance, if one of my coworkers is behind on work or is given additional tasks that they are struggling to complete, I will almost always take time out to try to help, which could potentially distract me from my own work for awhile. However, I am generally very attentive to my own work tasks and expend a lot of energy on completing all of my tasks with as little interruption or interference as possible.",Administrative Assistant,A few times a year,Frequently,Nearly Always,Monthly,A few times a year,Disagree,Agree,Rarely,Occasionally,Frequently,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Construction,101 to 500,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Junior Individual Contributor
37,"My job is interesting and challenging. It always for flexibility in my schedule and makes use of my talents. There is always something new to learn, a new problem to solve, or a new technology to investigate. Some days can be draining especially when you realize your work does not account for all possible use cases, however, the job always provides opportunities to learn and develop my career. This job is kinda of what I imagined I would like to be doing for a living while I was in college.","It depends on the day and the problem I am working on. When I am ""in the zone"" and making progress on a problem time seems to move very quickly and there are many times when the entire day seems to pass in what feels like only an hour or two. Sometimes I will forget to eat lunch or take a bathroom break because I am so engrossed in my work and I don't want to lose focus or forget details. Other days, when I am up against a problem that is difficult to solve or keeps presenting new problems or situations I didn't think of the day seems to pass very slowly. These days can be filled with lots of breaks and time on the internet. They can feel VERY slow.",Software Engineer,A few times a year,Sometimes,Frequently,A few times a year,A few times a month,Disagree,Strongly Agree,Frequently,Frequently,Sometimes,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,<100,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Senior Individual Contributor
38,I love the people I work with.  Everyone I deal with is nice and hard working and willing to help each other out.  My Supervisor is great and is always there and supportive for me also.  This could be with work or outside of work.  I like helping customers out with issues and solving issues for them and my co-workers.   My work for the most part is enjoyable and I like doing it.  Troubleshooting can be fun and solving the issues are great.,When I'm focused on an issue I can become engross with my work and time flies by.  A good example of this is really looking into SQL code to identify what is going on and resolving the issue. But really it depends on the day.  Some days are busy then others.  Some days there isn't a ton to do and those days can move slowly and I can easily become distracted talking to other workers.  But when I'm working I'm surprised how fast time moves.,Senior Client Support Specialist,Monthly,Occasionally,Frequently,Monthly,A few times a month,Strongly Disagree,Strongly Agree,Frequently,Sometimes,Sometimes,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,1001 to 5000,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Senior Individual Contributor
39,"My job gives me a great deal of flexibility, which is a wonderful thing.  I have to pick my granddaughter up once a week which means leaving early and it is never a problem.  If I have taken my two weeks vacation and need another day or two, it is given without question and never without pay.  There have also been times that I had to take some time off during the middle of the day, and again, it is never a problem or looked down upon.","When I'm at work time usually passes rather slowly.  The reason is that I don't have enough to do.  So, I am able to focus when I am working on a task, but once the task is done it's over.  It can sometimes be a day or two or three before I will have something meaningful to work on.  So time passes slowly and I get distracted when I am without work.",HR/Executive Assistant,Never,Sometimes,Sometimes,A few times a year,Every week,Strongly Disagree,Agree,Sometimes,Sometimes,select one,Occasionally,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Professional Services,<100,Office and Administrative Support  ,Supervisors of Office and Administrative Support Workers,First-Line Supervisors of Office and Administrative Support Workers,Manager/Supervisor
40,"Of the many things I enjoy I think the what I enjoy most is being able to help my clients keep their businesses running. It can be a challenge at times for sure, given the number of hours I work in a week, but I know daily I am doing something that helps people keep their businesses afloat even profitable and allows them to continue on in their careers, their dreams, their livelihoods and also affords them the ability to hire people who need to be able to work to keep their own dreams alive as well as just stay financially sound to help themselves and their families.","Time is an interesting question when it comes to my daily work. There are days when I get so busy that I don’t even notice how many hours have passed. There are other days where, maybe due to exhaustion, or just being in bad mood, or just because it is a slow day with not much work to be done, that time drags on and one hour seems like 2 or 3 hours. Specific examples are hard to come by and difficult to post due to the nature of my job but suffice to say that if we, for example, have emergency situations time flies very quickly as we are trying hard to resolve widespread technical issues. Fridays generally tend to be the slowest days only because we try not to do implement new processes due to light staffing on weekends.",software analyst,A few times a year,Frequently,Frequently,A few times a year,A few times a year,Somewhat Disagree,Strongly Agree,Nearly Always,Nearly Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,1001 to 5000,Computer and Mathematical  ,Computer Occupations,"Software and Web Developers, Programmers, and Testers",Senior Individual Contributor
41,"I like the fact that my employer has complete faith and trust in me. I enjoy the opportunity to keep my own hours, delegate tasks to others as I see fit. I do not have a supervisor looking over my shoulder, I am allowed to work at my own pace. All this is because I am dedicated and loyal to the company. I do thorough and precise work and am highly rewarded for my efforts. It is almost as if I am working with my family, the atmosphere is low key and relaxed. It is just an enjoyable environment.","Actually I get quite absorbed in my work. Since I can work at my own pace the way I allocate my time makes it easy to focus on my tasks at hand. The majority of time I do experience time passing quickly and before I know it I have worked through my lunch break. I have a position that demands almost error free entries so I do get really absorbed in what I am doing. I am able to control the amount of distractions I recieve by how I manage my time, sometimes working really early in the morning or staying after hours when most others have left for the day.",administrative assistant,A few times a month,Always,Nearly Always,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Frequently,Always,Always,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,101 to 500,Computer and Mathematical  ,Computer Occupations,Miscellaneous Computer Occupations,Manager/Supervisor
42,"What I like most about my job is the fact that I am almost always on the sales floor, interacting with others and learning new things.  I love the people that I work with and the strong team that we have built, and I know that they will always be there for me.  I also love most of the customers that I get to assist and meet every day.  These people have helped shaped me into a great communicator.","Typically time moves pretty fast while I am working and in the zone.  There are days where we experience down time, and time moves slowly during those days, but when I am busy, moving and in the zone, time typically moves by incredibly fast.  It is easy to focus on my work while busy, because there simply isn't any any other option.  If you get distracted in my job, it will show and everyone will notice.",Retail Manager,A few times a year,Frequently,Nearly Always,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Always,Nearly Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,501 to 1000,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Middle Manager
43,"I have a lot of autonomy. I work at various locations and usually by myself, though occasionally in a team environment. Usually, there is no supervisor, or other persons to deal with in person, just the employees of partner companies at the locations where I'm working. These usually leave me to my own devices, so most days, I run my own show and don't have to worry about accommodating anyone else from my organization. Other than that, I spend most of my time interacting with the public.","Focusing on my work is easy as I'm usually communicating and interacting with other people. If it's busy, time passes quickly and on slow days, it tends to pass a bit slow. Focusing on my work is easy when I have people in front of me, asking and answering questions and interacting in various ways. I'm also intent upon interesting them in whichever product I'm demonstrating. I find talking to people and chatting in general to be very easy and natural, so focusing on my work is rarely an issue.",Brand Ambassador,Never,Frequently,Frequently,Never,A few times a month,Somewhat Disagree,Somewhat Agree,Occasionally,Sometimes,Frequently,Frequently,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Retail,101 to 500,Sales and Related  ,Other Sales and Related Workers,"Models, Demonstrators, and Product Promoters",Senior Individual Contributor
44,"In my  job, I like the variety of situations that come up on a daily basis. When you work supporting people using computers, there is always something new whether it be a software or operating system update that messed with things or the user clicking on something accidentally and not being able to figure how to undo what they did.","For me, time passing slowly or quickly depends on the day - as I am sure happens to everyone. If there are several different tasks or events going on during a day, the time can pas rather quickly - sometimes too quickly, it seems, to get everything done. If my work is caught up and there are minimal things going on, the day can seem like it drags on and can get a little boring during those times.",IT Help Desk Analyst,A few times a year,Occasionally,Frequently,A few times a year,Monthly,Strongly Disagree,Strongly Agree,Frequently,Nearly Always,Occasionally,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Senior Individual Contributor
45,I like problem solving. As a programmer there is nothing more satisfying than being stuck on a problem that suddenly just clicks and makes sense. I also enjoy (sometimes) trying to understand past code people have written and the reasoning behind it. There is also something very satisfying about cleaning up old code or writing something that is very clean and well organized. I also like seeing the look on someone's face when something is much easier now than a troublesome older method.,"Time passes quickly when I have energy and am engrossed in some problem that I feel like I can solve. Time passes slowly when I am tired, especially when I first get in in the morning or I am about to leave at night. Time also passes slowly when I'm stuck on a problem or waiting on a team member for something to happen. Often times if not much work can be done I feel very frustrated by how slowly time is moving. For the most part it's easy to focus on my work (unless I am tired) because I spend the majority of the time in my own little world. The only times I really get distracted are when I'm waiting on someone else or someone else is making noise near me.",Programmer,Every day,Sometimes,Frequently,Every day,A few times a week,Disagree,Agree,Sometimes,Occasionally,Sometimes,Sometimes,Neither Agree nor Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",3 to 5,Education,<100,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 1-8 Teachers,Junior Individual Contributor
46,I love that it is something new  every day.  There are always new and issue problems that are going on and that my day is never exactly the same.  I love that I have the freedom to do my work how I want and don't have someone standing over me at all the time.  I love coming up with different ideas to solve the problems that come up each day.,"My work day goes very fast, there are times where I look at the clock and can't believe that it is already lunch time.   I get so immersed in my work and trying to get everything taken care of that it never seems like it drags. I love that I am never bored and that I can always find something to do or someone to help.",system network speicalist,A few times a year,Nearly Always,Nearly Always,A few times a year,Never,Strongly Disagree,Strongly Agree,Nearly Always,Always,Nearly Always,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Utilities,50001 to 200000,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Middle Manager
47,I like the challenge of finding a new house for a client or trying to sell their house in order to move. I really like taking clients out to see what they are looking for and then altering my searches accordingly. I really try to find the perfect place as soon as possible. I feel that my job is meaningful in that I am helping families find they right place to live. I like getting feedback that I was helpful in their search for a new home or sale of theirs. I really like when clients tell me that I made the process less stressful. I know that buying or selling a house can be overwhelming and I like to help.,I find that it is easy for me to focus on my work. I don't think that time really moves too fast or too slow. I take the time to have breaks and work on other stuff (personal) if I feel like I am getting too worn out. I think that the work I do is fun and engaging. I rarely feel that I don't have enough time to finish something or have too much extra time. I feel that I am never rushed in my work.,Real Estate Agent,Never,Nearly Always,Frequently,Never,A few times a year,Strongly Disagree,Strongly Agree,Frequently,Nearly Always,Nearly Always,Occasionally,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Real Estate,<100,Sales and Related  ,"Sales Representatives, Services","Miscellaneous Sales Representatives, Services",Senior Individual Contributor
48,"I can work at my pace and without any overbearing supervisors breathing down my throat.  When things go wrong, I can depend on myself to fix the problem and I don't have other hands in on the job distracting me or causing chaos.  Things are done as I need them done.  I work alone so I can be comfortable and it's a relief to not have to work around any one.  Further the customers I do have to deal with are all professional so if something happens, none of it's personal so we don't yell at each other as we aren't emotionally invested.","For the most part, it passes quickly.  Although I work alone and there's no one to talk to, Being on my own allows me to work on a schedule and there's very little down time.  Honestly it is easy to get distracted and most of the time I do have my personal laptop for the down times to fill the off hours.  Mostly, working like this, the night passes very fast.    The distractions, however, are mostly self induced to keep the boredom at bay.",Night support,A few times a year,Frequently,Sometimes,A few times a year,select one,Strongly Disagree,Strongly Agree,Nearly Always,Always,Frequently,Nearly Always,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Financial Services,<100,Office and Administrative Support  ,Other Office and Administrative Support Workers,Miscellaneous Office and Administrative Support Workers,Junior Individual Contributor
49,"I have worked in the education field for over 20 years. At times, it can be very demanding and often frustrating, but in the end, it is a very rewarding job. Working primarily with students who have behavior/academic problems over the past 20+ years has given me insight into populations that I didn't encounter growing up in an environment that was not very diverse. Here, the kids can be challenging, but I have noticed the positive impact I have had with them over the past several years. There is not much better than working with a struggling student, watching him/her succeed, and then see the look of satisfaction from them knowing they have put the work in and it has paid off for them.","My job is different than most in the education field. I am not up in front of a classroom presenting a lesson on a daily basis. I work primarily with small groups of students who have been sent to me because of academic and behavior issues. These students often need a lot of help and when I am working with students individually, the time seems to pass by fairly quickly. When the students don't need as much help and I don't have as much paperwork to complete, then the days can go by slowly, which is when I bring puzzles/books with me to occupy the time.",high school teacher,Monthly,Sometimes,Sometimes,Every week,A few times a week,Disagree,Strongly Agree,Nearly Always,Frequently,Sometimes,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Grade 9-12 Teachers,Senior Individual Contributor
50,"I love educating students. What I do is important for people to become responsible consumers of information. I can be creative in my delivery of the information I need to communicate. I have flexibility in setting my schedule to an extent, so I don't have to worry about punching a clock. I also love that I don't bring work home with me, and I'm not on call on the weekends or evenings. It's also fun to work with other faculty and get to know students outside the classroom. I love helping others find good information to create their papers and projects.","My job is very much hurry up and wait. During the peak of the semester, I have a thousand things on my plate, none of which can wait for a later time. During those times, time passes quickly as I have to be present for endless meetings, classes, and planning time. During school breaks, time passes very slowly, as I have fewer things to do. It's easy to get distracted during these slow times or to procrastinate doing unpleasant things. (They still get done, but without the pressing demands of the school year.) I wouldn't want to have the same pace throughout the year, though, because I couldn't maintain the higher-paced schedule all year without burning out.",educator,A few times a year,Sometimes,Sometimes,A few times a week,A few times a week,Disagree,Strongly Agree,Nearly Always,Nearly Always,Sometimes,Sometimes,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Education,101 to 500,Educational Instruction and Library  ,"Librarians, Curators, and Archivists",Librarians and Media Collections Specialists,Junior Individual Contributor
51,I like that I am genuinely able to help people in need sometimes and able to give a smile on their faces. It is not always like that but sometimes it's a good feeling to have when I get to help someone that's really in need and frustrated and share my knowledge to them. I feel like I not only helped them with their issues but I also help them accomplish more than what they wanted and set them for the future.,"Most of the time, time feels really slowly specially when there's not much to do. Just last week I feel like my end of shift took forever waiting for it, when I just wanted to go home and play video games",Sales rep,A few times a week,Rarely,Frequently,A few times a week,Every week,Disagree,Agree,Occasionally,Frequently,Rarely,Rarely,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Retail,50001 to 200000,Sales and Related  ,Retail Sales Workers,Retail Salespersons,Junior Individual Contributor
52,"I like that I get to deal with young adults every day.  I work at a community college and we get to help students. They are a joy to be around and any time you are on a college campus, you can feel the vitality of the youth that is there.  The students are generally very pleasant and just happy to have the opportunity to continue their education at a college.  Some also just want someone to be nice to them and listen to them and make them feel important.  I am able to fill the role in many of their lives.","When I am at work, it is easy to lost track of time because the time goes very quickly.  There are times that you can get distracted because there is bustle and activity everywhere, but you just have to set your mind to completing a task and then doing it.  The students always come first in anything that we are doing, so we just have to remember that and not get frustrated when they need something.  For example, the first of every semester is a madhouse where we work.  There are lines out of the door and it can get pretty hectic. Time goes very fast those days.",Bookstore Manager,A few times a year,Frequently,Frequently,Never,A few times a year,Strongly Disagree,Strongly Agree,Nearly Always,Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,101 to 500,Sales and Related  ,Supervisors of Sales Workers,First-Line Supervisors of Sales Workers,Manager/Supervisor
53,"I like being able to use my critical thinking skills on a daily basis, I find my job mentally stimulating. My role/job tends to be pretty flexible, so sometimes I am doing one set of tasks and other times I'm doing a totally different set of tasks, and this varies throughout the year and between years as well. It's nice to not be pidgeonholed into being ""the guy who makes tables"" or ""the guy who writes surveys"" and the variety is probably one of the things that really sets my role apart from what is ""normal"" in the market research industry. Working on these different types of projects and tasks means that I don't fall into a really repetitive cycle of doing the same analysis and reporting day-in and day-out.","Really, it's a little bit of everything. I work from home, and I'm pretty good about avoiding external distractions like the TV for the most part, which means that there isn't much in my work environment to distract me. As a result, sometimes time starts to really drag on when I'm doing something that I find un-enjoyable or just mentally taxing. However, I would say that on an average work day, time tends to pass pretty quickly for me. I keep a running to-do list which contains things that need to be completed in the next few months, weeks, and days. Usually if I'm working on something that has a longer timeframe (weeks to months) and time starts to feel like it's passing slowly, I'll switch up tasks to something else to keep myself engaged. This has been really effective for my productivity and for my tolerance of my job.",Research Associate,A few times a year,Occasionally,Frequently,Never,Every week,Strongly Disagree,Strongly Agree,Occasionally,Nearly Always,Occasionally,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",6 to 9,Insurance,<100,Computer and Mathematical  ,Mathematical Science Occupations,Statisticians,Junior Individual Contributor
54,"Because I work in hospitality, I meet people from every possible walk of life.  I have met very interesting people and love to hear their stories.  It is also good to be appreciated, although that tends to be a rare experience.  The most meaningful days are the ones where I have made a difference in someone's life, no matter how small. I have even had the good fortune to save a life or two or help keep a person safe from a dangerous situation.","Most shifts seem to drag on for days instead of hours.  It has become worse in the past year because we used to have a television in the lobby of the motel where I work.  Most of the time, it was either tuned to weather reports, since that is the main concern of guests, or on the down times, we had it tuned to a classic television channel which ran old shows from the 1950s and 60's.  Guests would love to sit and watch a show and reminisce about how they haven't seen the show since they were much younger, or how they might have heard a relative speak of the show but never saw it themselves.  Now we have no television because the owner doesn't ""believe in them.""""",Night auditor,Every day,Never,Rarely,Every day,A few times a week,Agree,Neither Agree nor Disagree,Occasionally,Occasionally,Never,Never,Disagree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Leisure/Hospitality,<100,Office and Administrative Support  ,Other Office and Administrative Support Workers,"Office Clerks, General",Senior Individual Contributor
55,"I like the owner of the company.  He can be a pain in the butt at times, but generally he is a good man with a good heart.  I like what I do for a living, but some of the mechanics that I supervise really have no pride in the type of work they do on customers' vehicles and that really irritates me.  You'd think grown men would have pride in doing a job well. I think what I like the most is troubleshooting what is wrong with a vehicle and have it running like new when it leaves our shop.","Generally, time passes quickly because I have so many jobs to do.  I supervise mechanics, I answer calls from customers, I price out jobs, and I do mechanical work my technicians can't handle.  Sometimes because I ""wear so many hats"", it can be distracting.  I may be diagnosing what is wrong with a car, and the phone rings.  I will have to leave the bay area of the job and answer the phone, so it can be hard to focus on one task at certain times.", service manager,A few times a week,Sometimes,Frequently,A few times a week,A few times a week,Somewhat Disagree,Somewhat Agree,Frequently,Frequently,Sometimes,Sometimes,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Travel/Transportation,<100,Sales and Related  ,"Sales Representatives, Services","Miscellaneous Sales Representatives, Services",Manager/Supervisor
56,"I like most about my current job is that I am able to come up with a solution to a problem with a variety of different ways.  There might be more than one way to solve a problem that may occur.  I also like that my job requires me to be up to date about the latest technology trends.  I have to learn about the new technologies that are available, even though we might not be using them immediately.","I think when I am working sometimes time will go by quickly when I am working on something that is fun.  Time will go by slowly when I am working on something that is tedious.  There have been certain times where it is hard to stay focused.  Sometimes a co-worker will want me to create a report, and I do not quite know how to create the report (we have an old CRM software package with no support).  I'll start working on the report and then get distracted by checking my email or looking at YouTube videos.  If I am working on something that is exciting, then I will not get distracted.",IT Consultant,A few times a year,Frequently,Frequently,A few times a year,A few times a month,Somewhat Disagree,Agree,Nearly Always,Frequently,Sometimes,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Technology,<100,Computer and Mathematical  ,Computer Occupations,Computer Support Specialists,Junior Individual Contributor
57,"I like that I am able to go into my office and be alone. I enjoy working independently, so this is a plus for me. To be able to grab my materials and files that I need for the day, and then retreat into my private office and just do the work by myself, is something that I truly cherish about my job. I like that my department and superiors trust me to do the work and to do a good job with good quality. That would be a big thing that I like about my job, that is, that I am truly good at it, and I have become more skilled and experienced in it over the course of years. This makes me feel competent and respected, and I like going to work everyday knowing that I can beat any challenge I face because of my job knowledge.","If I am truly working on a project, then time goes by very quickly. I am often can't believe that many hours have passed when I am truly working hard at a task. I find it very easy to focus on my work, because it is truly my responsibility, and that makes me take an ownership in the projects. If I don't do it and do it well, then it will not get done. So I like to just get down to work, and I have no problems getting started on a task. Sometimes other coworkers come in to bother me. They are talkers and gossipers, so sometimes they try to distract me because they like distracting themselves from doing their own job. However I have no issues and waste no time getting back to my work once they leave my office. I am quick to find the place where I was and pick up where I left off. This exact example happened yesterday. A noisy coworker came in to talk about personal lives. I listened for about ten minutes, and didn't forget my work. When he left after getting his point across, I immediately started working again, because I wanted to finish up my project.",Financial Clerk,A few times a year,Frequently,Sometimes,Monthly,Monthly,Disagree,Agree,Frequently,Sometimes,Frequently,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Financial Services,101 to 500,Office and Administrative Support  ,Financial Clerks,Miscellaneous Financial Clerks,Junior Individual Contributor
58,"There are lots of things I like about my job.  It has great benefits and I make a good salary.   My job is pretty fast paced.   There are always a lot of things going on.   Many of the things that come up are quite challenging and call for creative solutions.  I have a great staff in place right now and they have been great to work with.  We are moving in a positive direction even though we have had some set backs this past year.  In other departments, I also have great colleagues which makes work enjoyable.","My work is pretty fast paced.   This makes work challenging, but it also creates issues.  I rarely have the ability to work on larger projects during work hours.  I often get interrupted.  So while this can make work enjoyable, it can make it hard to get to many of my responsibilities.  Because of the pace of my work, I have to remain very focused in order to be productive.    I also have to work a lot of hours, so it makes it hard to stay focused towards the end of the day.",Director of Facilities,Monthly,Nearly Always,Nearly Always,A few times a month,A few times a month,Strongly Disagree,Strongly Agree,Nearly Always,Always,Nearly Always,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,Other Educational Instruction and Library Occupations,Miscellaneous Educational Instruction and Library Workers,Middle Manager
59,"I enjoy working with my co workers and students. Each day is different and exciting. We never know what might walk through our door or what we may be tackling. I really enjoy helping students find connections and involvement opportunities as well as trouble shooting problems. The benefits at my job are also good. We get plenty of vacation days, sick time, sick family time, and compensatory time if we work nights or weekends at programs or events. The medical insurance is good, but I do not use that benefit. The amount of people who work at my institution and stay for a long period of time is not unusual. I am the newest professional staff person in my office and I've been on campus for 10 years. People tend to like working here and stay for a long time.","Depending on the project I am working on, the time can go quickly or slowly. We have our busy periods in the fall and spring, but there are down times where things are very slow-- like in the summer when campus is quiet. Phone calls and emails as well as walk in questions can get me very distracted easily. My most recent project was coordinating an awards program and I would constantly get interrupted by questions from our student workers or others. I had to stop and help others and put my work aside. In general though, I can close my office door if I need to get through a project without distractions and get the work done. We need to train our student workers better about respecting our wishes for privacy and alone time if we are under deadline or working on something important.","assistant director, higher education",A few times a year,Frequently,Sometimes,A few times a year,A few times a month,Neither Agree nor Disagree,Agree,Nearly Always,Nearly Always,Rarely,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,Other Teachers and Instructors,Miscellaneous Teachers and Instructors,Middle Manager
60,"I like that day to day I know I have set tasks to handle and take care of. However, other parts of my day can change daily. I could be teaching, I could be working one on one with researchers or I could be talking to potential donors. It is a special pleasure when I can do historic work.",It depends on the task. The more rote day to day events like answering emails or attending meetings can make time pass very slowly. However when I'm researching or writing a paper or coming up with programming ideas time goes very quickly. I find I'm more easily distracted when I do not have near deadlines.,Librarian,A few times a year,Frequently,Frequently,A few times a year,A few times a month,Strongly Disagree,Strongly Agree,Nearly Always,Nearly Always,Frequently,Frequently,Strongly Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,501 to 1000,Educational Instruction and Library  ,"Librarians, Curators, and Archivists",Librarians and Media Collections Specialists,Junior Individual Contributor
61,I like interacting with the moms. It gives me a chance to connect with other people. I try my best to be nice to them and have them have an enjoyable experience. Some days I enjoy the variety of my job. I am able to do many different types of tasks. This breaks up the day quite a bit and keeps it from becoming too repetitive. I like the flexibility of the job as well. I enjoy the data part of my job extremely well. I like manipulating and cleaning the data as well.,"For the majority of the time, time passes slowly for me. It really doesn't depend on the amount of work I have; it will still pass slowly. I am very easily distracted at work. For example, I could have 3 separate stacks of things to do and I will still find the time to browse the internet or get up to go to the bathroom multiple times. I will find an excuse to go up to the front of the building so I can talk to people; anything to avoid focusing on the three separate stacks of work I might have.",research assistant,A few times a week,Rarely,Sometimes,A few times a week,A few times a week,Somewhat Disagree,Agree,Rarely,Occasionally,Never,Rarely,Somewhat Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Government/Non-Profit,Do Not Know,Office and Administrative Support  ,Secretaries and Administrative Assistants,Secretaries and Administrative Assistants,Manager/Supervisor
62,I love the proximity to my home which is located within a five minute drive. I like that I am influencing the lives of a younger generation and perhaps having a positive impact on their life. I like that I have a lot of leeway in my decision making at my job. I love that i have a lot of seniority and that carries me through a lot of work related projects . I also enjoy having the weekends off most of the time. I actually enjoy being director a group of people and making decisions over their work related tasks for the week.,"If I am working on a project that I am passionate about and it is of a creative nature than time will definately fly by. I only get distracted when I have other employees that are requiring my time to help them fix their problems. Once when I was organizing a festival to use as a fundraiser, the time flew by and I enjoyed every minute of it. Another time I was working on a project and it seemed as though every hour that someone was demanding my attention to their work. When this happens I always get distracted and off focus.",child care directorr,A few times a month,Frequently,Sometimes,A few times a year,A few times a week,Somewhat Agree,Neither Agree nor Disagree,Always,Frequently,Frequently,Frequently,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,<100,Educational Instruction and Library  ,"Pre-kindergarten, Kindergarten, Grade 1-12, and Special Education Teachers",Pre-kindergarten and Kindergarten Teachers,Manager/Supervisor
63,"I'm an educator,and will say really like and admire the students I teach and mentor. They are very busy, responsible young adults and they take the work they do in my classes seriously. It is a pleasure and a privilege to work with such a hard-working, accomplished, and creative group. No matter what frustrations I may have with my employer or other less savory aspects of the job, I am often engaged by my work with the students. That aspect of the work is what keeps me coming back and gives me a sense of pride.","The work I do that gives me most satisfaction is teaching. Generally speaking, when I am in the classroom I feel time to pass quite quickly. If I am doing my job right and engaging students in conversation, time can pass more quickly than it does otherwise. It's difficult to get distracted in that context and still to a good job. When I teach, I have to be ""on""; and if I'm not ""on,"" the classroom experience suffers for it.",Professor,A few times a month,Sometimes,Occasionally,A few times a month,Every week,Disagree,Strongly Agree,Sometimes,Sometimes,Rarely,Sometimes,Agree,"I have one job (my primary employment), which I supplement by working on Mechanical Turk",10+,Education,1001 to 5000,Educational Instruction and Library  ,Postsecondary Teachers,"Communications, History, and Humanities Teachers, Postsecondary",Senior Individual Contributor
